date_key,festival_name,theme_type,greeting_line
01-01,New Year,festive,Happy New Year
01-26,Republic Day,patriotic,Happy Republic Day
08-15,Independence Day,patriotic,Happy Independence Day
10-02,Gandhi Jayanti,patriotic,Gandhi Jayanti
11-14,Children's Day,celebration,Happy Children's Day
12-25,Christmas,festive,Merry Christmas
